session,avg_DU.key1.key1,std_DU.key1.key1,med_DU.key1.key1,skew_DU.key1.key1,kurt_DU.key1.key1,q25_DU.key1.key1,q75_DU.key1.key1,iqr_DU.key1.key1,avg_DD.key1.key2,std_DD.key1.key2,med_DD.key1.key2,skew_DD.key1.key2,kurt_DD.key1.key2,q25_DD.key1.key2,q75_DD.key1.key2,iqr_DD.key1.key2,avg_UD.key1.key2,std_UD.key1.key2,med_UD.key1.key2,skew_UD.key1.key2,kurt_UD.key1.key2,q25_UD.key1.key2,q75_UD.key1.key2,iqr_UD.key1.key2,avg_UU.key1.key2,std_UU.key1.key2,med_UU.key1.key2,skew_UU.key1.key2,kurt_UU.key1.key2,q25_UU.key1.key2,q75_UU.key1.key2,iqr_UU.key1.key2,rhythm_mean,rhythm_std,rhythm_max,pause_ratio,avg_pause,std_pause
p001_s1,0.10190161943319838,0.051323381723610895,0.09,7.91899702289469,114.41099607354816,0.074,0.12,0.046,0.2918983805668016,0.3028860968238709,0.183,2.517185561051524,7.2338128551382415,0.129,0.29325,0.16425,0.18999676113360325,0.2998560882718913,0.094,2.40378560429387,6.257652812626821,0.033,0.186,0.153,0.29011740890688253,0.29728335966170016,0.192,2.407906514166179,6.258755209138128,0.13,0.298,0.16799999999999998,-0.00042608343458890035,0.4261403597656927,2.407,0.013184178985217739,2.117848484848485,0.9979071262275652
p001_s2,0.11042419771302103,0.045620263851257635,0.103,7.12556773532099,118.09053225174219,0.085,0.129,0.044,0.28280966433050536,0.28781072012438164,0.182,2.5299526528413607,7.1493666537035025,0.128,0.2795,0.15150000000000002,0.17238546661748433,0.28774576888786363,0.088,2.515146637048774,7.225995773673498,0.017,0.168,0.15100000000000002,0.2814673552194762,0.2877159477091746,0.198,2.5221890267013647,7.2820759200476175,0.12,0.287,0.16699999999999998,0.00017712177121771214,0.4028396185776355,1.768,0.009499451954694921,1.6235,1.40197529935445
p002_s1,0.08836958976289047,0.05196734398753578,0.085,28.361308113877854,1116.747356484044,0.074,0.096,0.022000000000000006,0.17002559277380502,0.12697981587373178,0.136,3.5500640971498716,29.41913093763423,0.1,0.186,0.086,0.08165600301091455,0.12219758487947749,0.054,2.19216772518753,5.829237056889168,0.015,0.099,0.084,0.16792547986450884,0.1257597569338545,0.14,2.2209768781387735,5.931634269042693,0.09,0.187,0.097,-0.0003787650602409642,0.1749968340530634,2.1220000000000003,0.011532738095238096,0.9477096774193549,0.5880437735151121
p002_s2,0.08782712477396021,0.03062251866549236,0.085,6.066552677036382,68.62344976579196,0.074,0.096,0.022000000000000006,0.1687128390596745,0.12123133475276152,0.136,2.4092506659283477,6.769696341218022,0.1,0.185,0.08499999999999999,0.08088571428571428,0.12458785274211624,0.054,2.2710872742657404,6.2621801258270064,0.015,0.101,0.08600000000000001,0.167697287522604,0.1283782606385418,0.139,2.298787189192964,6.4755339985707305,0.086,0.19,0.10400000000000001,4.775687409551427e-05,0.165931674010647,0.729,0.009315657470440702,0.8288461538461538,0.47776142098814905
p003_s1,0.08669603524229076,0.08055913508345301,0.079,25.588906262628804,778.105293461194,0.069,0.092,0.022999999999999993,0.10396676011213457,0.10101391919275551,0.086,13.166804260462367,311.14080493590683,0.063,0.127,0.064,0.017270724869843813,0.06719352915592176,0.002,0.860876486845833,4.711028258512984,-0.025,0.05,0.07500000000000001,0.10091870244293152,0.0637591913375192,0.085,1.7428765655049177,6.577469833426946,0.056,0.134,0.07800000000000001,-0.00027684294871794894,0.1460073399179124,2.746,0.009520031733439112,0.596375,0.7766142690075215
p003_s2,0.08263680477790218,0.030614093146126724,0.078,6.869658040677689,78.93503461821359,0.068,0.088,0.01999999999999999,0.09872191116088093,0.06716274136363466,0.084,1.7923017972865403,9.4356862927538,0.06,0.124,0.064,0.016085106382978723,0.06527348672000785,0.0,1.181628144153245,5.058820004232196,-0.024,0.0455,0.0695,0.09813549832026874,0.06419637255630364,0.082,1.8718114276512288,6.464371009540001,0.054,0.129,0.07500000000000001,-0.00015758028379387614,0.09784919563442154,0.8220000000000001,0.007042253521126761,0.7405789473684209,0.6391136497603079
p004_s1,0.12742874444893015,0.29125259579146506,0.085,6.841728021584161,48.81576364782346,0.064,0.088,0.023999999999999994,0.2705236172789665,0.34547847956406946,0.176,4.404590039567403,23.575508138827637,0.121,0.272,0.15100000000000002,0.14309487283003636,0.19832105815913773,0.096,3.493534846539927,20.247497282144803,0.04,0.169,0.129,0.22585587404117888,0.19866993089056442,0.176,3.56679845265554,20.22868648997983,0.12,0.248,0.128,0.00011025848142164776,0.48137477083006136,2.873,0.0036202735317779565,3.084222222222222,0.6058737033775641
p005_s1,0.10955396825396826,0.050767582224170195,0.104,5.730189173509073,54.815339869687975,0.087,0.127,0.04000000000000001,0.3053657142857143,0.20166221537562282,0.255,1.0820275812576545,1.5003620284528019,0.16275,0.408,0.24524999999999997,0.19581174603174603,0.196431830224948,0.144,1.0988992794388037,1.6076646971062223,0.065,0.296,0.23099999999999998,0.30330126984126987,0.1899502065871856,0.256,1.2288102348655838,1.644501074139022,0.168,0.4,0.232,4.06478247062552e-05,0.2837921208594168,1.282,0.010678391959798994,1.52,0.5567903147015532
p005_s2,0.10442076991942703,0.05532415184082335,0.096,7.344237348114681,97.63961872282864,0.08,0.119,0.03899999999999999,0.28677529095792303,0.20543576832484436,0.224,1.3241462635554755,2.6201916958267226,0.152,0.384,0.232,0.18235452103849595,0.197788477809866,0.128,1.2053484207517273,2.0612441953828116,0.056,0.273,0.21700000000000003,0.2843715308863026,0.19161108125309811,0.232,1.427713447073568,2.2388211172853296,0.152,0.376,0.224,-8.835820895522337e-05,0.2922110798342553,1.672,0.007699141249629849,1.5947692307692305,0.5770447682939207
p006_s1,0.08257773584905662,0.033502061251230016,0.08,3.0967521318516025,32.227866250363256,0.063,0.103,0.039999999999999994,0.15503924528301885,0.11134821451151383,0.128,1.493083427871379,3.6219859511820083,0.08,0.2,0.12000000000000001,0.07246150943396226,0.11664532044890301,0.056,1.253235847256543,2.6073558100928125,-0.016,0.128,0.14400000000000002,0.1541245283018868,0.11231203988897533,0.136,1.41115015642639,2.829408391074134,0.065,0.208,0.143,5.511513778784479e-05,0.16796268163191855,0.872,0.009345794392523364,1.18916,0.5461438058484841
